국가별수출입 실적,,,,,,
,,,,,,
"통계기준:수리일,조회구분:202001 ~202207 ,국가:전체",,,,,,
,,,,,,"단위:천 불(USD 1,000)"
기간,국가명,수출건수,수출금액,수입건수,수입금액,무역수지
총계,,"34,689,785","1,567,999,932","93,951,266","1,509,080,880","58,919,051"
2020.01,중국,"141,438","9,642,031","311,812","9,428,226","213,805"
2020.01,미국,"84,297","5,740,347","1,207,003","5,577,076","163,272"
2020.01,베트남,"49,875","4,081,500","33,125","1,846,198","2,235,302"
2020.01,일본,"117,119","2,434,953","122,945","3,163,260","-728,307"
2020.01,말레이시아,"14,119","2,278,461","11,291","969,919","1,308,542"
2020.01,홍콩,"21,072","2,193,755","24,494","127,274","2,066,481"
2020.01,인도,"19,242","1,227,490","11,556","566,832","660,658"
2020.01,대만,"23,824","1,172,396","22,854","1,384,239","-211,843"
2020.01,싱가포르,"31,479","1,084,771","12,524","884,791","199,980"
2020.01,독일,"12,675","728,795","208,268","1,349,395","-620,600"
2020.01,멕시코,"11,514","720,072","6,739","647,584","72,488"
2020.01,필리핀,"9,036","715,652","6,596","257,011","458,641"
2020.01,태국,"14,287","605,976","11,609","430,110","175,866"
2020.01,인도네시아,"19,605","588,782","7,238","682,743","-93,960"
2020.01,라이베리아,66,"573,334",43,153,"573,181"
2020.01,호주,"8,858","553,671","56,140","1,928,577","-1,374,906"
2020.01,러시아 연방,"8,824","523,531","1,900","1,265,685","-742,154"
2020.01,튀르키예,"5,732","462,734","3,623","106,970","355,764"
2020.01,폴란드,"6,523","443,419","2,738","60,840","382,579"
2020.01,캐나다,"8,948","435,432","18,405","278,458","156,975"
2020.01,카자흐스탄,982,"407,092",62,"166,842","240,250"
2020.01,프랑스,"5,270","369,322","19,552","539,168","-169,846"
2020.01,영국,"8,097","360,346","34,555","376,344","-15,998"
2020.01,아랍에미리트 연합,"6,095","347,918",541,"889,129","-541,211"
2020.01,브라질,"7,423","319,525","1,642","346,728","-27,204"
2020.01,이탈리아,"5,322","290,158","73,748","557,214","-267,057"
