,국가별수출입 실적,국가명,수출건수,수출금액
0,2020.01,가나,"               1,376","              31,336"
1,2020.02,가나,"               1,552","              14,234"
2,2020.03,가나,"               1,942","              16,991"
3,2020.04,가나,"               1,368","              14,951"
4,2020.05,가나,"               1,370","              13,741"
5,2020.06,가나,"               2,037","              18,652"
6,2020.07,가나,"               2,185","              21,769"
7,2020.08,가나,"               1,818","              20,117"
8,2020.09,가나,"               1,885","              20,535"
9,2020.10,가나,"               1,926","              17,150"
10,2020.11,가나,"               1,751","              18,084"
11,2020.12,가나,"               1,429","              17,185"
12,2021.01,가나,"               1,283","              21,427"
13,2021.02,가나,"               1,504","              22,186"
14,2021.03,가나,"               2,154","              25,980"
15,2021.04,가나,"               2,217","              27,043"
16,2021.05,가나,"               2,055","              24,182"
17,2021.06,가나,"               2,033","              29,739"
18,2021.07,가나,"               1,647","              22,865"
19,2021.08,가나,"               1,548","              20,452"
20,2021.09,가나,"               1,339","              23,209"
21,2021.10,가나,"               1,338","              29,184"
22,2021.11,가나,"               1,232","              27,928"
23,2021.12,가나,"               1,109","              23,778"
24,2022.01,가나,                 925,"              30,357"
25,2022.02,가나,                 941,"              21,326"
26,2022.03,가나,                 879,"              22,451"
27,2022.04,가나,                 767,"              18,787"
28,2022.05,가나,                 731,"              19,414"
29,2022.06,가나,                 847,"              14,744"
30,2022.07,가나,                 803,"              15,985"
31,2020.01,가봉,                 105,                 624
32,2020.02,가봉,                 109,                 944
33,2020.03,가봉,                  45,"               1,486"
34,2020.04,가봉,                  28,"               2,264"
35,2020.05,가봉,                  17,                 338
36,2020.06,가봉,                  27,                 275
37,2020.07,가봉,                  33,                 313
38,2020.08,가봉,                  25,                 881
39,2020.09,가봉,                  35,"               1,175"
40,2020.10,가봉,                  54,                 843
41,2020.11,가봉,                  32,                 368
42,2020.12,가봉,                  56,                 423
43,2021.01,가봉,                  36,                 945
44,2021.02,가봉,                  19,                 727
45,2021.03,가봉,                  44,                 981
