,기간,수출건수,수출액
0,2020.01,735116,43103060857
1,2020.02,798774,40911818805
2,2020.03,912933,46167203855
3,2020.04,766175,36270182837
4,2020.05,799280,34854511400
5,2020.06,985852,39214070630
6,2020.07,1031635,42785144050
7,2020.08,932166,39469230580
8,2020.09,1126451,47819947522
9,2020.10,1034425,44818534427
10,2020.11,1306444,45751883232
11,2020.12,1275069,51332449396
12,2021.01,1063782,48006973697
13,2021.02,991831,44706906918
14,2021.03,1439462,53690914321
15,2021.04,1184249,51225991397
16,2021.05,1143835,50725161248
17,2021.06,1513595,54778904949
18,2021.07,1182251,55461518159
19,2021.08,1122015,53165103786
20,2021.09,1502399,55913862375
21,2021.10,1104157,55660372637
22,2021.11,1535829,60330542263
23,2021.12,1322594,60734116670
24,2022.01,1099910,55458996904
25,2022.02,1017769,54154107050
26,2022.03,1403028,63790090674
27,2022.04,1027167,57851065625
28,2022.05,1100765,61591387001
29,2022.06,1241866,57689933975
30,2022.07,988961,60565944469
