,날짜,수출건수,수출금액,수입건수,수입금액,무역수지
1,2018-03,792813,51309932,1847813,44897838,6412094
2,2018-04,727349,49850235,1762609,43693963,6156273
3,2018-05,763659,50687750,1789768,44458729,6229021
4,2018-06,788826,51079375,1730889,45000164,6079212
5,2018-07,742392,51810255,1756375,44917044,6893211
6,2018-08,734664,51180449,1777271,44360778,6819671
7,2018-09,651137,50650208,1712344,41032928,9617280
8,2018-10,760934,54860310,1958340,48480618,6379692
9,2018-11,997647,51479530,1989739,46808199,4671331
10,2018-12,689676,48206793,1971887,44024694,4182099
11,2019-01,724445,46168934,2121240,45153389,1015545
12,2019-02,621348,39481803,1748298,36651437,2830366
13,2019-03,754196,47003206,2183681,41992349,5010857
14,2019-04,791438,48781156,2188788,45047164,3733992
15,2019-05,800751,45703948,2185460,43619667,2084281
16,2019-06,796854,44008404,2049066,40104812,3903592
17,2019-07,795298,46078221,2189639,43762245,2315976
18,2019-08,794112,44020065,2065221,42457250,1562815
19,2019-09,804837,44629053,2098148,38741473,5887580
20,2019-10,916254,46648756,2271691,41396517,5252239
21,2019-11,1218917,44040722,2391518,40729215,3311507
22,2019-12,888689,45668341,2397132,43687430,1980912
23,2020-01,735116,43103061,2339425,42718100,384960
24,2020-02,798774,40911819,2377377,36977247,3934572
25,2020-03,912933,46167204,2657543,41803860,4363344
26,2020-04,766175,36270183,2296172,37932611,-1662429
27,2020-05,799280,34854511,2316308,34661974,192537
28,2020-06,985852,39214071,2354875,35794860,3419211
29,2020-07,1031635,42785144,2514501,38849185,3935959
30,2020-08,932166,39469231,2460518,35817929,3651302
31,2020-09,1126451,47819948,2898693,39400190,8419758
32,2020-10,1034425,44818534,2849716,39093795,5724739
33,2020-11,1306444,45751883,2943680,39944763,5807120
34,2020-12,1275069,51332449,3274735,44638246,6694203
35,2021-01,1063782,48006974,3216535,44456822,3550152
36,2021-02,991831,44706907,2779591,42404636,2302271
37,2021-03,1439462,53690914,3298165,49742555,3948359
38,2021-04,1184249,51225991,3346730,50891152,334840
39,2021-05,1143835,50725161,3245257,47910522,2814640
40,2021-06,1513595,54778905,3101662,50429027,4349878
41,2021-07,1182251,55461518,3225209,53676256,1785262
42,2021-08,1122015,53165104,3180345,51581093,1584011
43,2021-09,1502399,55913862,3199940,51636341,4277521
44,2021-10,1104157,55660373,3356096,53847824,1812548
45,2021-11,1535829,60330542,3418506,57357549,2972993
46,2021-12,1322594,60734117,3657650,61159671,-425554
47,2022-01,1099910,55458997,3434132,60363866,-4904869
48,2022-02,1017769,54154107,3131843,53316160,837947
49,2022-03,1403028,63790091,3543900,63607844,182246
50,2022-04,1027167,57851066,3398510,60327559,-2476493
51,2022-05,1100765,61591387,3365875,63191356,-1599969
52,2022-06,1241866,57689934,3349002,60177051,-2487117
53,2022-07,988961,60565944,3418775,65370835,-4804890
