,상관계수,p-value,통계적의의여부
수출건수 & 수출금액,0.5407569052876722,2.9128310774980992e-05,o
수입건수 & 수입금액,0.6906838982050425,1.0447858483574904e-08,o
수출건수 & 수입건수,0.8342510945445676,8.618051140883811e-15,o
수출금액 & 수입금액,0.9246125590461991,5.0184003801140893e-23,o
수출금액 & 수출건수,0.5407569052876722,2.9128310774980992e-05,o
수출금액 & 무역수지,-0.2396599606196555,0.083910201145194,x
수출건수 & 무역수지,-0.20656759611692735,0.1378000075757463,x
수입금액 & 수입건수,0.6906838982050425,1.0447858483574904e-08,o
수입금액 & 무역수지,-0.5914006725575319,3.1152149104066905e-06,o
수입건수 & 무역수지,-0.5461261687387041,2.3375762319718058e-05,o
