,날짜,수출금액,국내월별확진자,전세계월별확진자
0,2020-03,46167204,6855,747267
1,2020-04,36270183,979,2311509
2,2020-05,34854511,703,2891921
3,2020-06,39214071,1331,4277169
4,2020-07,42785144,1506,7036270
5,2020-08,39469231,5642,8288030
6,2020-09,47819948,3865,8690268
7,2020-10,44818534,2699,12367392
8,2020-11,45751883,7688,17058500
9,2020-12,51332449,26523,19035159
10,2021-01,48006974,17476,19732292
11,2021-02,44706907,11467,11025349
12,2021-03,53690914,13415,14419055
13,2021-04,51225991,18919,21977123
14,2021-05,50725161,18339,20185183
15,2021-06,54778905,16623,11425729
16,2021-07,55461518,41384,15770621
17,2021-08,53165104,53075,19692105
18,2021-09,55913862,59867,16084219
19,2021-10,55660373,53413,13336346
20,2021-11,60330542,82527,15376548
21,2021-12,60734117,183608,24616793
22,2022-01,55458997,214864,89153380
23,2022-02,54154107,2288757,58525895
